HOME,AWAY,COMP,GOAL_PERCENT,WIN_PERCENT,TABLE DIFF,HOME_FORM,AWAY_FORM,HOME_GEN_FORM,H2HOME_NAME,H2H_FORM,HOME_GF,AWAY_GA,HOME_GA,AWAY_GF,H2H_GOALS
,,,,,,,,,,,,,,,
Nottingham Forest,Newcastle United,Premier League,75,40.4,-47.36842105,1.5,2.5,1.5,Newcastle Utd,1,5,2,2,1,2
,,,,,,,,,,,,,,,
Sheffield Wednesday,Bolton Wanderers,League One,75,64.6,21.73913043,3,3,3.5,Bolton,1.5,5,3,1,1,2
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Nottingham Forest,Newcastle United,Premier League,75,40.4,-47.36842105,1.5,2.5,1.5,Newcastle Utd,1,5,2,2,1,2
,,,,,,,,,,,,,,,
Sheffield Wednesday,Bolton Wanderers,League One,75,64.6,21.73913043,3,3,3.5,Bolton,1.5,5,3,1,1,2
,,,,,,,,,,,,,,,
Valladolid,Athletic Club,La Liga,56.25,38.6,-26.31578947,2.5,2,1.5,Athletic Club,0.5,2,4,1,0,2
,,,,,,,,,,,,,,,
Barcelona Women,Valencia Women,Liga F,62.5,87.2,33.33333333,5,3,5,Valencia,2,5,2,0,2,1
,,,,,,,,,,,,,,,
Malaga,Levante,Segunda División,50,32,-80.95238095,2,2.5,1,Levante,0,3,4,1,0,0
,,,,,,,,,,,,,,,
Monchengladbach,Werder Bremen,Bundesliga,68.75,51.6,5.882352941,4,1,3,Werder Bremen,1,3,4,1,1,2
,,,,,,,,,,,,,,,
Wolfsburg Women,Turbine Potsdam,Bundesliga,81.25,96.8,100,5,4.5,5,Turbine Potsdam,2,5,5,1,0,2
,,,,,,,,,,,,,,,
Arminia,Nurnberg,2. Bundesliga,62.5,41.8,-17.64705882,2,3.5,0.5,Nürnberg,0.5,3,4,2,0,1
,,,,,,,,,,,,,,,
Heidenheim,Karlsruher,2. Bundesliga,68.75,74.2,29.41176471,4,3.5,3.5,Karlsruher,1.5,5,3,0,2,1
,,,,,,,,,,,,,,,
Viktoria Koln,Meppen,3. Liga,75,61.2,52.63157895,3,3.5,3,Meppen,1,3,4,2,1,2
,,,,,,,,,,,,,,,
Sassuolo,Spezia,Serie A,81.25,71,21.05263158,2.5,5,2.5,Spezia,1.5,3,4,2,2,2
,,,,,,,,,,,,,,,
Atalanta,Empoli,Serie A,75,66,42.10526316,4,2.5,4.5,Empoli,1,4,4,1,2,1
,,,,,,,,,,,,,,,
Lyon,Nantes,Ligue 1,50,80.6,21.05263158,4,4,4.5,Nantes,1.5,2,2,1,2,1
,,,,,,,,,,,,,,,
North Carolina FC,Tormenta FC,USL League One,12.5,0,27.27272727,0,0,0,Tormenta FC,0,0,0,0,0,2
,,,,,,,,,,,,,,,
CA Union,Racing Club,Primera Div,50,32.2,-51.85185185,1.5,2,1.5,Racing Club,0.5,2,2,1,1,2
,,,,,,,,,,,,,,,
Adelaide United,Wellington Phoenix,A-League,87.5,49.8,27.27272727,3.5,2,3,Wellington,0.5,5,3,2,2,2
,,,,,,,,,,,,,,,
Adelaide United Women,Newcastle Jets Women,A-League,68.75,61.2,20,1,5,4,Newcastle,1,2,4,2,1,2
,,,,,,,,,,,,,,,
Cercle Brugge,Genk,First Division A,100,32.2,-41.17647059,2.5,1,1.5,Genk,0.5,5,5,2,2,2
,,,,,,,,,,,,,,,
Flamengo Women,CA Mineiro,Série A1,18.75,36,20,1,1,1,CA Mineiro,2,1,1,0,1,0
,,,,,,,,,,,,,,,
Cherno More,Septemvri Sofia,First League,75,69,26.66666667,4,4,4,Septemvri Sofia,0.5,3,4,2,2,1
,,,,,,,,,,,,,,,
